team_id,name,country,founded,stadium,city,capacity,rank,points,goal_diff,goals_for,goals_against,win,draw,lose
80,Manchester City,England,1880,Etihad Stadium,Manchester,55097,2,22,15,23,8,7,1,3
84,Liverpool,England,1892,Anfield,Liverpool,61276,8,18,1,18,17,6,0,5
88,Chelsea,England,1905,Stamford Bridge,London,41841,3,20,10,21,11,6,2,3
102,Manchester United,England,1878,Old Trafford,Manchester,76212,7,18,1,19,18,5,3,3
141,Arsenal FC,England,1886,Emirates Stadium,London,60383,1,26,15,20,5,8,2,1
164,Tottenham Hotspur,England,1882,Tottenham Hotspur Stadium,London,62850,5,18,9,19,10,5,3,3
3071,AFC Bournemouth,England,1899,Vitality Stadium,"Bournemouth, Dorset",12000,9,18,-1,17,18,5,3,3
3073,Everton,England,1878,Goodison Park,Liverpool,40569,13,15,-1,12,13,4,3,4
3075,Burnley,England,1882,Turf Moor,Burnley,22546,17,10,-8,14,22,3,1,7
3077,Wolverhampton Wanderers,England,1877,Molineux Stadium,"Wolverhampton, West Midlands",34624,20,2,-18,7,25,0,2,9
3079,Brighton & Hove Albion,England,1901,The American Express Community Stadium,"Falmer, East Sussex",31800,11,16,2,17,15,4,4,3
3081,West Ham United,England,1895,London Stadium,London,64472,18,10,-10,13,23,3,1,7
3085,Fulham,England,1879,Craven Cottage,London,29589,15,11,-4,12,16,3,2,6
3086,Brentford,England,1889,Brentford Community Stadium,"Brentford, Middlesex",17250,12,16,0,17,17,5,1,5
3088,Aston Villa,England,1874,Villa Park,Birmingham,42824,6,18,3,13,10,5,3,3
3089,Nottingham Forest,England,1865,The City Ground,"Nottingham, Nottinghamshire",30576,19,9,-10,10,20,2,3,6
3100,Newcastle United,England,1892,St. James' Park,Newcastle upon Tyne,52758,14,12,-3,11,14,3,3,5
3103,Leeds United,England,1919,Elland Road,"Leeds, West Yorkshire",40204,16,11,-10,10,20,3,2,6
3111,Sunderland,England,1879,Stadium of Light,Sunderland,49000,4,19,4,14,10,5,4,2
3429,Crystal Palace,England,1861,Selhurst Park,London,26309,10,17,5,14,9,4,5,2
