team_id,name,country,founded,stadium,city,capacity,rank,points,goal_diff,goals_for,goals_against,win,draw,lose
33,Manchester United,England,1878,Old Trafford,Manchester,76212,8,60,-1,57,58,18,6,14
34,Newcastle,England,1892,St. James' Park,Newcastle upon Tyne,52758,7,60,23,85,62,18,6,14
35,Bournemouth,England,1899,Vitality Stadium,"Bournemouth, Dorset",12000,12,48,-13,54,67,13,9,16
36,Fulham,England,1879,Craven Cottage,London,29589,13,47,-6,55,61,13,8,17
39,Wolves,England,1877,Molineux Stadium,"Wolverhampton, West Midlands",34624,14,46,-15,50,65,13,7,18
40,Liverpool,England,1892,Anfield,Liverpool,61276,3,82,45,86,41,24,10,4
42,Arsenal,England,1886,Emirates Stadium,London,60383,2,89,62,91,29,28,5,5
44,Burnley,England,1882,Turf Moor,Burnley,22546,19,24,-37,41,78,5,9,24
45,Everton,England,1878,Hill Dickinson Stadium,"Liverpool, Merseyside",52888,15,40,-11,40,51,13,9,16
47,Tottenham,England,1882,Tottenham Hotspur Stadium,London,62850,5,66,13,74,61,20,6,12
48,West Ham,England,1895,London Stadium,London,64472,9,52,-14,60,74,14,10,14
49,Chelsea,England,1905,Stamford Bridge,London,41841,6,63,14,77,63,18,9,11
50,Manchester City,England,1880,Etihad Stadium,Manchester,55097,1,91,62,96,34,28,7,3
51,Brighton,England,1901,American Express Stadium,"Falmer, East Sussex",31872,11,48,-7,55,62,12,12,14
52,Crystal Palace,England,1861,Selhurst Park,London,26309,10,49,-1,57,58,13,10,15
55,Brentford,England,1889,Gtech Community Stadium,"Brentford, Middlesex",17250,16,39,-9,56,65,10,9,19
62,Sheffield Utd,England,1889,Bramall Lane,Sheffield,32702,20,16,-69,35,104,3,7,28
65,Nottingham Forest,England,1865,The City Ground,"Nottingham, Nottinghamshire",30576,17,32,-18,49,67,9,9,20
66,Aston Villa,England,1874,Villa Park,Birmingham,42824,4,68,15,76,61,20,8,10
1359,Luton,England,1885,Kenilworth Road,"Luton, Bedfordshire",11500,18,26,-33,52,85,6,8,24
